Date; Time; Temp °C
18.05.2014; 16:53:43;19.25
18.05.2014; 16:55:00;19.25
18.05.2014; 16:55:09;19.25
18.05.2014; 16:56:12;19.25
18.05.2014; 16:57:15;19.25
18.05.2014; 16:58:18;19.25
18.05.2014; 16:59:21;19.19
18.05.2014; 17:00:24;19.19
18.05.2014; 17:01:27;19.19
18.05.2014; 17:02:30;19.19
18.05.2014; 17:03:33;19.13
18.05.2014; 17:04:36;19.13
18.05.2014; 17:05:39;19.13
18.05.2014; 17:06:42;19.13
18.05.2014; 17:07:45;19.13
18.05.2014; 17:08:48;19.13
18.05.2014; 17:09:51;19.13
18.05.2014; 17:10:54;19.13
18.05.2014; 17:11:57;19.13
18.05.2014; 17:13:00;19.13
18.05.2014; 17:14:03;19.06
18.05.2014; 17:15:06;19.06
18.05.2014; 17:16:09;19.06
18.05.2014; 17:17:12;19.06
18.05.2014; 17:18:15;19.06
18.05.2014; 17:19:18;19.06
18.05.2014; 17:20:21;19.06
18.05.2014; 17:21:24;18.88
18.05.2014; 17:24:33;18.88
18.05.2014; 17:25:36;18.88
18.05.2014; 17:26:39;18.94
18.05.2014; 17:27:42;18.88
18.05.2014; 17:28:45;18.88
18.05.2014; 17:29:48;18.81
18.05.2014; 17:30:51;18.81
18.05.2014; 17:31:54;18.81
18.05.2014; 17:32:57;18.81
18.05.2014; 17:34:00;18.81
18.05.2014; 17:39:15;18.69
18.05.2014; 17:40:18;18.69
18.05.2014; 17:41:21;18.69
18.05.2014; 17:42:24;18.63
18.05.2014; 17:43:27;18.63
18.05.2014; 17:44:30;18.63
18.05.2014; 17:45:33;18.56
18.05.2014; 17:46:36;18.56
18.05.2014; 17:47:39;18.56
18.05.2014; 17:48:42;18.56
18.05.2014; 17:49:45;18.56
18.05.2014; 17:50:48;18.56
18.05.2014; 17:51:51;18.50
18.05.2014; 17:52:54;18.50
18.05.2014; 17:53:57;18.44
18.05.2014; 17:55:00;18.38
18.05.2014; 17:56:03;18.38
18.05.2014; 17:57:06;18.38
18.05.2014; 17:58:09;18.38
18.05.2014; 17:59:12;18.25
18.05.2014; 18:00:15;18.25
18.05.2014; 18:01:18;18.19
18.05.2014; 18:02:21;18.06
18.05.2014; 18:03:24;18.00
18.05.2014; 18:04:27;18.00
18.05.2014; 18:05:30;18.06
18.05.2014; 18:06:33;18.06
18.05.2014; 18:07:36;18.00
18.05.2014; 18:08:39;18.00
18.05.2014; 18:09:42;18.00
18.05.2014; 18:10:45;18.00
18.05.2014; 18:11:48;17.94
18.05.2014; 18:12:51;17.88
18.05.2014; 18:13:54;17.88
18.05.2014; 18:14:57;17.75
18.05.2014; 18:16:00;17.63
18.05.2014; 18:17:03;17.56
18.05.2014; 18:18:06;17.56
18.05.2014; 18:19:09;17.63
18.05.2014; 18:20:12;17.63
18.05.2014; 18:21:15;17.56
18.05.2014; 18:22:18;17.56
18.05.2014; 18:23:21;17.56
18.05.2014; 18:24:24;17.56
18.05.2014; 18:25:27;17.56
18.05.2014; 18:26:30;17.50
18.05.2014; 18:27:33;17.56
18.05.2014; 18:28:36;17.50
18.05.2014; 18:29:39;17.44
18.05.2014; 18:30:42;17.44
18.05.2014; 18:31:45;17.44
18.05.2014; 18:32:48;17.44
18.05.2014; 18:33:51;17.44
18.05.2014; 18:34:54;17.38
18.05.2014; 18:35:57;17.38
18.05.2014; 18:37:00;17.38
18.05.2014; 18:38:03;17.38
18.05.2014; 18:39:06;17.31
18.05.2014; 18:40:09;17.25
18.05.2014; 18:41:12;17.25
18.05.2014; 18:42:15;17.25
18.05.2014; 18:43:18;17.25
18.05.2014; 18:44:21;17.25
18.05.2014; 18:45:24;17.19
18.05.2014; 18:46:26;17.19
18.05.2014; 18:47:29;17.25
18.05.2014; 18:48:32;17.19
18.05.2014; 18:49:35;17.19
18.05.2014; 18:50:38;17.19
18.05.2014; 18:51:41;17.13
18.05.2014; 18:52:44;17.13
18.05.2014; 18:53:47;17.13
18.05.2014; 19:01:08;17.06
18.05.2014; 19:02:11;17.00
18.05.2014; 19:03:14;17.06
18.05.2014; 19:04:17;17.00
18.05.2014; 19:05:20;17.00
18.05.2014; 19:06:23;17.00
18.05.2014; 19:07:26;17.00
18.05.2014; 19:08:29;17.00
18.05.2014; 19:09:32;17.00
18.05.2014; 19:10:35;17.00
18.05.2014; 19:11:38;17.00
18.05.2014; 19:12:41;16.94
18.05.2014; 19:13:44;16.94
18.05.2014; 19:14:47;16.94
18.05.2014; 19:15:50;16.94
18.05.2014; 19:16:53;16.94
18.05.2014; 19:17:56;16.88
18.05.2014; 19:18:59;16.88
18.05.2014; 19:20:02;16.88
18.05.2014; 19:21:05;16.88
18.05.2014; 19:22:08;16.88
18.05.2014; 19:23:11;16.94
18.05.2014; 19:24:14;16.88
18.05.2014; 19:25:17;16.88
18.05.2014; 19:26:20;16.88
18.05.2014; 19:27:23;16.88
18.05.2014; 19:28:26;16.88
18.05.2014; 19:29:29;16.88
18.05.2014; 19:30:32;16.88
18.05.2014; 19:31:35;16.81
18.05.2014; 19:32:38;16.81
18.05.2014; 19:33:41;16.81
18.05.2014; 19:34:44;16.88
18.05.2014; 19:35:47;16.81
18.05.2014; 19:36:50;16.88
18.05.2014; 19:37:53;16.81
18.05.2014; 19:38:56;16.81
18.05.2014; 19:39:59;16.75
18.05.2014; 19:41:02;16.75
18.05.2014; 19:42:05;16.69
18.05.2014; 19:43:08;16.75
